City,Day,Date,Time,Weather,Temperature
Stockholm,Saturday,04-03-2023,00:00,Rainy,7
Stockholm,Saturday,04-03-2023,00:30,Partly Cloudy,21
Stockholm,Saturday,04-03-2023,01:00,Thunderstorms,14
Stockholm,Saturday,04-03-2023,01:30,Cloudy,21
Stockholm,Saturday,04-03-2023,02:00,Partly Cloudy,20
Stockholm,Saturday,04-03-2023,02:30,Sunny,18
Stockholm,Saturday,04-03-2023,03:00,Cloudy,15
Stockholm,Saturday,04-03-2023,03:30,Rainy,8
Stockholm,Saturday,04-03-2023,04:00,Partly Cloudy,21
Stockholm,Saturday,04-03-2023,04:30,Cloudy,11
Stockholm,Saturday,04-03-2023,05:00,Rainy,8
Stockholm,Saturday,04-03-2023,05:30,Thunderstorms,12
Stockholm,Saturday,04-03-2023,06:00,Rainy,13
Stockholm,Saturday,04-03-2023,06:30,Cloudy,22
Stockholm,Saturday,04-03-2023,07:00,Partly Cloudy,19
Stockholm,Saturday,04-03-2023,07:30,Partly Cloudy,26
Stockholm,Saturday,04-03-2023,08:00,Partly Cloudy,12
Stockholm,Saturday,04-03-2023,08:30,Cloudy,14
Stockholm,Saturday,04-03-2023,09:00,Cloudy,9
Stockholm,Saturday,04-03-2023,09:30,Partly Cloudy,25
Stockholm,Saturday,04-03-2023,10:00,Rainy,12
Stockholm,Saturday,04-03-2023,10:30,Partly Cloudy,27
Stockholm,Saturday,04-03-2023,11:00,Sunny,22
Stockholm,Saturday,04-03-2023,11:30,Rainy,12
Stockholm,Saturday,04-03-2023,12:00,Partly Cloudy,23
Stockholm,Saturday,04-03-2023,12:30,Cloudy,8
Stockholm,Saturday,04-03-2023,13:00,Thunderstorms,11
Stockholm,Saturday,04-03-2023,13:30,Sunny,19
Stockholm,Saturday,04-03-2023,14:00,Rainy,6
Stockholm,Saturday,04-03-2023,14:30,Partly Cloudy,23
Stockholm,Saturday,04-03-2023,15:00,Thunderstorms,18
Stockholm,Saturday,04-03-2023,15:30,Thunderstorms,8
Stockholm,Saturday,04-03-2023,16:00,Thunderstorms,12
Stockholm,Saturday,04-03-2023,16:30,Sunny,21
Stockholm,Saturday,04-03-2023,17:00,Rainy,10
Stockholm,Saturday,04-03-2023,17:30,Thunderstorms,13
Stockholm,Saturday,04-03-2023,18:00,Sunny,26
Stockholm,Saturday,04-03-2023,18:30,Partly Cloudy,23
Stockholm,Saturday,04-03-2023,19:00,Sunny,24
Stockholm,Saturday,04-03-2023,19:30,Sunny,19
Stockholm,Saturday,04-03-2023,20:00,Partly Cloudy,20
Stockholm,Saturday,04-03-2023,20:30,Sunny,25
Stockholm,Saturday,04-03-2023,21:00,Thunderstorms,7
Stockholm,Saturday,04-03-2023,21:30,Cloudy,12
Stockholm,Saturday,04-03-2023,22:00,Thunderstorms,11
Stockholm,Saturday,04-03-2023,22:30,Partly Cloudy,14
Stockholm,Saturday,04-03-2023,23:00,Thunderstorms,13
Stockholm,Saturday,04-03-2023,23:30,Cloudy,14
Stockholm,Sunday,05-03-2023,00:00,Rainy,3
Stockholm,Sunday,05-03-2023,00:30,Thunderstorms,11
Stockholm,Sunday,05-03-2023,01:00,Partly Cloudy,20
Stockholm,Sunday,05-03-2023,01:30,Thunderstorms,18
Stockholm,Sunday,05-03-2023,02:00,Partly Cloudy,24
Stockholm,Sunday,05-03-2023,02:30,Sunny,28
Stockholm,Sunday,05-03-2023,03:00,Rainy,12
Stockholm,Sunday,05-03-2023,03:30,Thunderstorms,9
Stockholm,Sunday,05-03-2023,04:00,Cloudy,11
Stockholm,Sunday,05-03-2023,04:30,Thunderstorms,18
Stockholm,Sunday,05-03-2023,05:00,Sunny,24
Stockholm,Sunday,05-03-2023,05:30,Cloudy,15
Stockholm,Sunday,05-03-2023,06:00,Partly Cloudy,18
Stockholm,Sunday,05-03-2023,06:30,Sunny,33
Stockholm,Sunday,05-03-2023,07:00,Rainy,7
Stockholm,Sunday,05-03-2023,07:30,Rainy,8
Stockholm,Sunday,05-03-2023,08:00,Partly Cloudy,17
Stockholm,Sunday,05-03-2023,08:30,Sunny,26
Stockholm,Sunday,05-03-2023,09:00,Sunny,25
Stockholm,Sunday,05-03-2023,09:30,Rainy,17
Stockholm,Sunday,05-03-2023,10:00,Sunny,24
Stockholm,Sunday,05-03-2023,10:30,Partly Cloudy,15
